CustomerID,Province,CustomerSegment,RegistrationDate,CustomerTenureMonths,CustomerTenureBand
C000150,Ontario,Retail,2024-11-07,13,Established
C000151,Alberta,Commercial,2024-08-31,16,Established
C000152,Ontario,Retail,2021-11-30,49,Long-Term
C000153,British Columbia,Retail,2021-03-01,57,Long-Term
C000154,Alberta,Retail,2021-08-11,52,Long-Term
C000155,Ontario,Retail,2023-06-10,30,Loyal
C000156,Ontario,Premium,2021-08-08,52,Long-Term
C000157,Ontario,Fleet,2020-10-04,62,Long-Term
C000158,British Columbia,Retail,2022-07-06,41,Loyal
C000159,Ontario,Retail,2021-12-04,48,Loyal
C000160,Ontario,Retail,2022-06-25,42,Loyal
C000161,Ontario,Retail,2023-12-24,24,Established
C000162,Ontario,Retail,2023-01-03,35,Loyal
C000163,Ontario,Retail,2022-09-15,39,Loyal
C000164,Ontario,Premium,2023-11-11,25,Loyal
C000165,Alberta,Premium,2025-01-29,11,Recent
C000166,Alberta,Retail,2022-09-11,39,Loyal
C000167,Ontario,Premium,2020-12-14,60,Long-Term
C000168,Ontario,Retail,2023-06-13,30,Loyal
C000169,Ontario,Retail,2022-10-10,38,Loyal
C000170,Alberta,Fleet,2020-03-12,69,Long-Term
C000171,Ontario,Fleet,2024-04-16,20,Established
C000172,Alberta,Commercial,2020-08-01,64,Long-Term
C000173,Ontario,Retail,2021-08-14,52,Long-Term
C000174,Ontario,Retail,2024-11-03,13,Established
C000175,Ontario,Retail,2020-03-30,69,Long-Term
C000176,Ontario,Premium,2025-06-17,6,New
C000177,Ontario,Retail,2023-12-10,24,Established
C000178,Ontario,Retail,2021-04-03,56,Long-Term
C000179,Alberta,Retail,2022-05-23,43,Loyal
C000180,Ontario,Premium,2023-08-17,28,Loyal
C000181,Ontario,Retail,2021-11-25,49,Long-Term
C000182,Ontario,Retail,2020-11-07,61,Long-Term
C000183,Ontario,Retail,2020-12-18,60,Long-Term
C000184,Alberta,Retail,2021-02-07,58,Long-Term
C000185,British Columbia,Retail,2021-08-30,52,Long-Term
C000186,Alberta,Retail,2023-12-12,24,Established
C000187,Ontario,Retail,2021-06-13,54,Long-Term
C000188,Ontario,Premium,2021-04-22,56,Long-Term
C000189,British Columbia,Retail,2021-07-06,53,Long-Term
C000190,Ontario,Retail,2022-04-17,44,Loyal
C000191,Ontario,Premium,2023-12-18,24,Established
C000192,Ontario,Retail,2021-09-21,51,Long-Term
C000193,Ontario,Commercial,2025-12-20,0,New
C000194,British Columbia,Retail,2025-06-26,6,New
C000195,Alberta,Retail,2024-07-13,17,Established
C000196,Alberta,Retail,2022-08-26,40,Loyal
C000197,Ontario,Retail,2022-12-18,36,Loyal
C000198,Ontario,Retail,2023-05-24,31,Loyal
C000199,British Columbia,Retail,2023-05-31,31,Loyal
C000200,Ontario,Retail,2024-07-19,17,Established
C000201,Ontario,Retail,2020-05-08,67,Long-Term
C000202,Ontario,Fleet,2023-02-16,34,Loyal
C000203,Ontario,Retail,2020-10-29,62,Long-Term
C000204,British Columbia,Premium,2023-08-03,28,Loyal
C000205,Ontario,Retail,2022-10-06,38,Loyal
C000206,Ontario,Premium,2021-05-03,55,Long-Term
C000207,Ontario,Fleet,2022-09-27,39,Loyal
C000208,Alberta,Retail,2024-06-12,18,Established
C000209,Ontario,Retail,2024-02-05,22,Established
C000210,Ontario,Retail,2022-08-19,40,Loyal
C000211,Ontario,Retail,2023-03-23,33,Loyal
C000212,Ontario,Retail,2020-02-12,70,Long-Term
C000213,Alberta,Fleet,2020-01-21,71,Long-Term
C000214,Alberta,Commercial,2025-01-01,11,Recent
C000215,Ontario,Retail,2023-09-19,27,Loyal
C000216,Ontario,Fleet,2024-07-29,17,Established
C000217,Alberta,Fleet,2020-12-15,60,Long-Term
C000218,Alberta,Retail,2021-03-20,57,Long-Term
C000219,Alberta,Retail,2023-10-17,26,Loyal
C000220,Ontario,Commercial,2021-06-04,54,Long-Term
C000221,Ontario,Commercial,2022-12-08,36,Loyal
C000222,Alberta,Retail,2020-05-25,67,Long-Term
C000223,Ontario,Retail,2021-04-27,56,Long-Term
C000224,Ontario,Retail,2022-09-14,39,Loyal
C000225,Ontario,Retail,2022-02-08,46,Loyal
C000226,Ontario,Retail,2022-09-25,39,Loyal
C000227,Ontario,Retail,2022-10-02,38,Loyal
C000228,Alberta,Retail,2025-03-29,9,Recent
C000229,Ontario,Commercial,2020-06-08,66,Long-Term
C000230,Ontario,Retail,2020-12-07,60,Long-Term
C000231,Ontario,Retail,2024-02-03,22,Established
C000232,Ontario,Fleet,2022-10-13,38,Loyal
C000233,Ontario,Commercial,2021-10-18,50,Long-Term
C000234,British Columbia,Retail,2021-09-21,51,Long-Term
C000235,Alberta,Retail,2021-03-31,57,Long-Term
C000236,Alberta,Retail,2021-04-25,56,Long-Term
C000237,Ontario,Retail,2025-02-09,10,Recent
C000238,Ontario,Commercial,2023-12-13,24,Established
C000239,British Columbia,Commercial,2020-01-12,71,Long-Term
C000240,Ontario,Retail,2024-08-20,16,Established
C000241,Alberta,Commercial,2023-11-29,25,Loyal
C000242,Ontario,Fleet,2020-09-22,63,Long-Term
C000243,Ontario,Fleet,2023-02-07,34,Loyal
C000244,Ontario,Fleet,2022-11-14,37,Loyal
C000245,Ontario,Retail,2024-05-22,19,Established
C000246,British Columbia,Commercial,2025-01-25,11,Recent
C000247,Ontario,Retail,2024-03-20,21,Established
C000248,Ontario,Fleet,2022-12-15,36,Loyal
C000249,Ontario,Retail,2020-07-08,65,Long-Term
C000250,Ontario,Retail,2024-06-26,18,Established
C000251,Ontario,Retail,2020-05-03,67,Long-Term
C000252,Ontario,Retail,2025-11-09,1,New
C000253,Alberta,Fleet,2021-01-20,59,Long-Term
C000254,Alberta,Premium,2022-06-19,42,Loyal
C000255,Alberta,Fleet,2025-07-13,5,New
C000256,Ontario,Retail,2024-11-26,13,Established
C000257,Ontario,Retail,2022-01-13,47,Loyal
C000258,Ontario,Retail,2020-04-14,68,Long-Term
C000259,British Columbia,Commercial,2025-09-07,3,New
C000260,Ontario,Premium,2021-12-15,48,Loyal
C000261,Ontario,Retail,2022-05-05,43,Loyal
C000262,Alberta,Retail,2022-04-24,44,Loyal
C000263,Alberta,Commercial,2024-07-26,17,Established
C000264,Ontario,Retail,2023-05-19,31,Loyal
C000265,Ontario,Retail,2023-09-05,27,Loyal
C000266,Ontario,Commercial,2020-12-25,60,Long-Term
C000267,Ontario,Retail,2024-06-01,18,Established
C000268,Ontario,Commercial,2021-10-13,50,Long-Term
C000269,Ontario,Fleet,2023-08-04,28,Loyal
C000270,Ontario,Fleet,2024-08-15,16,Established
C000271,Ontario,Retail,2024-10-14,14,Established
C000272,Ontario,Retail,2023-05-30,31,Loyal
C000273,Ontario,Retail,2025-04-11,8,Recent
C000274,Alberta,Retail,2021-10-23,50,Long-Term
C000275,Ontario,Retail,2020-07-31,65,Long-Term
C000276,British Columbia,Retail,2020-03-28,69,Long-Term
C000277,Ontario,Premium,2021-12-03,48,Loyal
C000278,Ontario,Retail,2023-02-08,34,Loyal
C000279,Ontario,Premium,2021-03-24,57,Long-Term
C000280,Ontario,Premium,2023-11-29,25,Loyal
C000281,Ontario,Retail,2020-11-09,61,Long-Term
C000282,Ontario,Fleet,2024-11-13,13,Established
C000283,British Columbia,Retail,2022-11-09,37,Loyal
C000284,Ontario,Premium,2025-07-16,5,New
C000285,Ontario,Retail,2021-06-09,54,Long-Term
C000286,Ontario,Premium,2020-06-10,66,Long-Term
C000287,Ontario,Retail,2021-02-09,58,Long-Term
C000288,British Columbia,Retail,2025-08-28,4,New
C000289,Ontario,Retail,2023-02-10,34,Loyal
C000290,Alberta,Retail,2020-07-16,65,Long-Term
C000291,Ontario,Fleet,2025-12-24,0,New
C000292,Ontario,Fleet,2022-08-30,40,Loyal
C000293,Alberta,Premium,2023-12-20,24,Established
C000294,Alberta,Retail,2025-09-27,3,New
C000295,Alberta,Retail,2022-10-06,38,Loyal
C000296,Ontario,Retail,2020-07-06,65,Long-Term
C000297,British Columbia,Retail,2021-09-09,51,Long-Term
C000298,Ontario,Premium,2025-07-07,5,New
C000299,Ontario,Retail,2022-05-24,43,Loyal
C000300,Ontario,Retail,2025-06-24,6,New
C000301,Alberta,Retail,2022-06-14,42,Loyal
C000302,British Columbia,Retail,2024-10-19,14,Established
C000303,Ontario,Fleet,2021-02-28,58,Long-Term
C000304,Ontario,Retail,2021-08-15,52,Long-Term
C000305,Ontario,Premium,2024-06-21,18,Established
C000306,Alberta,Retail,2025-08-31,4,New
C000307,Ontario,Premium,2021-08-10,52,Long-Term
C000308,Alberta,Fleet,2025-01-28,11,Recent
C000309,Ontario,Premium,2024-08-05,16,Established
C000310,Ontario,Commercial,2025-10-06,2,New
C000311,Ontario,Retail,2024-04-26,20,Established
C000312,Ontario,Commercial,2023-12-21,24,Established
C000313,Ontario,Retail,2021-04-20,56,Long-Term
C000314,Ontario,Retail,2025-05-21,7,Recent
C000315,Ontario,Retail,2022-04-27,44,Loyal
C000316,Alberta,Fleet,2022-10-11,38,Loyal
C000317,Ontario,Retail,2024-12-15,12,Recent
C000318,Ontario,Retail,2022-10-09,38,Loyal
C000319,Ontario,Fleet,2024-04-09,20,Established
C000320,Alberta,Retail,2020-08-14,64,Long-Term
C000321,Ontario,Premium,2024-01-13,23,Established
C000322,Ontario,Commercial,2021-04-20,56,Long-Term
C000323,Ontario,Retail,2024-08-25,16,Established
C000324,Alberta,Premium,2022-06-14,42,Loyal
C000325,Alberta,Fleet,2020-10-15,62,Long-Term
C000326,Ontario,Premium,2024-08-10,16,Established
C000327,Ontario,Retail,2025-01-12,11,Recent
C000328,Ontario,Retail,2025-07-12,5,New
C000329,Alberta,Premium,2023-02-12,34,Loyal
C000330,Ontario,Retail,2020-05-21,67,Long-Term
C000331,Ontario,Commercial,2025-03-19,9,Recent
C000332,British Columbia,Retail,2020-03-23,69,Long-Term
C000333,Alberta,Commercial,2024-07-17,17,Established
C000334,Alberta,Retail,2025-01-26,11,Recent
C000335,Ontario,Retail,2024-08-04,16,Established
C000336,Ontario,Premium,2020-03-08,69,Long-Term
C000337,Ontario,Retail,2022-12-21,36,Loyal
C000338,Ontario,Fleet,2024-02-01,22,Established
C000339,Ontario,Premium,2025-04-12,8,Recent
C000340,Ontario,Retail,2023-12-18,24,Established
C000341,Alberta,Retail,2021-02-09,58,Long-Term
C000342,Ontario,Premium,2025-01-20,11,Recent
C000343,Alberta,Premium,2025-06-30,6,New
C000344,Ontario,Retail,2025-04-20,8,Recent
C000345,Ontario,Retail,2021-03-16,57,Long-Term
C000346,Ontario,Retail,2025-02-18,10,Recent
C000347,Ontario,Retail,2021-07-08,53,Long-Term
C000348,Ontario,Retail,2023-10-18,26,Loyal
C000349,Alberta,Retail,2024-12-17,12,Recent
C000350,Alberta,Premium,2022-06-25,42,Loyal
C000351,Ontario,Premium,2021-03-31,57,Long-Term
C000352,Ontario,Commercial,2022-09-14,39,Loyal
C000353,Ontario,Premium,2021-12-27,48,Loyal
C000354,Ontario,Retail,2021-08-16,52,Long-Term
C000355,Ontario,Commercial,2025-09-19,3,New
C000356,Ontario,Retail,2025-06-19,6,New
C000357,Ontario,Retail,2022-02-09,46,Loyal
C000358,Alberta,Retail,2023-01-09,35,Loyal
C000359,Ontario,Retail,2023-10-12,26,Loyal
C000360,Ontario,Commercial,2024-12-24,12,Recent
C000361,Ontario,Retail,2025-07-14,5,New
C000362,Ontario,Commercial,2022-11-30,37,Loyal
C000363,Ontario,Retail,2024-06-23,18,Established
C000364,Ontario,Retail,2024-05-10,19,Established
C000365,Ontario,Retail,2025-07-04,5,New
C000366,Ontario,Retail,2025-01-03,11,Recent
C000367,Alberta,Fleet,2022-11-20,37,Loyal
C000368,British Columbia,Retail,2021-03-18,57,Long-Term
C000369,Ontario,Retail,2023-06-11,30,Loyal
C000370,Alberta,Retail,2025-12-09,0,New
C000371,Ontario,Commercial,2022-02-24,46,Loyal
C000372,Ontario,Fleet,2025-04-20,8,Recent
C000373,Ontario,Retail,2020-12-30,60,Long-Term
C000374,Alberta,Retail,2022-01-31,47,Loyal
C000375,Ontario,Fleet,2022-04-15,44,Loyal
C000376,Ontario,Retail,2025-12-26,0,New
C000377,British Columbia,Commercial,2023-05-22,31,Loyal
C000378,Ontario,Retail,2021-10-18,50,Long-Term
C000379,Ontario,Commercial,2025-01-19,11,Recent
C000380,Ontario,Retail,2022-09-03,39,Loyal
C000381,Alberta,Fleet,2021-10-27,50,Long-Term
C000382,Ontario,Retail,2023-05-24,31,Loyal
C000383,Ontario,Retail,2024-09-10,15,Established
C000384,Ontario,Retail,2022-06-21,42,Loyal
C000385,Ontario,Retail,2022-05-30,43,Loyal
C000386,Ontario,Retail,2022-07-31,41,Loyal
C000387,Ontario,Retail,2025-01-07,11,Recent
C000388,Ontario,Retail,2020-01-19,71,Long-Term
C000389,Alberta,Retail,2022-12-24,36,Loyal
C000390,Alberta,Retail,2020-07-19,65,Long-Term
C000391,Ontario,Retail,2021-02-17,58,Long-Term
C000392,Ontario,Commercial,2025-07-08,5,New
C000393,Ontario,Retail,2024-08-07,16,Established
C000394,Ontario,Retail,2024-02-06,22,Established
C000395,Ontario,Retail,2023-05-23,31,Loyal
C000396,Ontario,Retail,2024-08-20,16,Established
C000397,Ontario,Retail,2025-09-09,3,New
C000398,Alberta,Retail,2024-05-08,19,Established
C000399,Ontario,Retail,2022-11-11,37,Loyal
C000400,British Columbia,Premium,2025-05-04,7,Recent
C000401,Alberta,Retail,2024-01-04,23,Established
C000402,Alberta,Retail,2025-05-14,7,Recent
C000403,Ontario,Retail,2024-06-30,18,Established
C000404,Alberta,Premium,2022-03-29,45,Loyal
C000405,Ontario,Premium,2021-04-15,56,Long-Term
C000406,Alberta,Retail,2020-08-22,64,Long-Term
C000407,Ontario,Fleet,2022-03-03,45,Loyal
C000408,Ontario,Retail,2022-07-01,41,Loyal
C000409,Ontario,Retail,2024-08-08,16,Established
C000410,Ontario,Retail,2021-01-31,59,Long-Term
C000411,Ontario,Premium,2025-07-09,5,New
C000412,Ontario,Retail,2025-01-01,11,Recent
C000413,Ontario,Premium,2024-01-01,23,Established
C000414,Ontario,Premium,2020-04-27,68,Long-Term
C000415,Ontario,Premium,2024-12-20,12,Recent
C000416,Ontario,Retail,2025-11-28,1,New
C000417,Ontario,Retail,2023-11-02,25,Loyal
C000418,Ontario,Retail,2025-11-21,1,New
C000419,Ontario,Premium,2024-08-24,16,Established
C000420,Ontario,Retail,2025-08-21,4,New
C000421,Ontario,Fleet,2020-11-02,61,Long-Term
C000422,Ontario,Retail,2021-09-07,51,Long-Term
C000423,Ontario,Retail,2023-05-26,31,Loyal
C000424,Ontario,Retail,2020-10-04,62,Long-Term
C000425,Alberta,Retail,2023-11-18,25,Loyal
C000426,Ontario,Retail,2022-10-03,38,Loyal
C000427,Alberta,Commercial,2024-09-19,15,Established
C000428,Alberta,Premium,2025-08-14,4,New
C000429,Ontario,Retail,2025-04-30,8,Recent
C000430,British Columbia,Fleet,2025-04-16,8,Recent
C000431,Alberta,Retail,2021-09-11,51,Long-Term
C000432,Alberta,Retail,2024-05-24,19,Established
C000433,Ontario,Fleet,2023-03-08,33,Loyal
C000434,Ontario,Retail,2023-11-14,25,Loyal
C000435,Alberta,Fleet,2025-01-08,11,Recent
C000436,British Columbia,Retail,2020-01-08,71,Long-Term
C000437,Ontario,Premium,2025-02-20,10,Recent
C000438,Alberta,Retail,2024-10-17,14,Established
C000439,Ontario,Retail,2020-12-14,60,Long-Term
C000440,Ontario,Retail,2021-10-28,50,Long-Term
C000441,Ontario,Retail,2022-09-06,39,Loyal
C000442,British Columbia,Fleet,2020-09-30,63,Long-Term
C000443,Ontario,Retail,2025-12-01,0,New
C000444,Ontario,Premium,2025-03-28,9,Recent
C000445,Alberta,Retail,2021-12-09,48,Loyal
C000446,Ontario,Premium,2023-02-06,34,Loyal
C000447,British Columbia,Commercial,2021-02-08,58,Long-Term
C000448,Ontario,Retail,2020-08-08,64,Long-Term
C000449,Ontario,Retail,2025-03-28,9,Recent
C000450,Ontario,Commercial,2025-06-05,6,New
C000451,Alberta,Premium,2020-10-16,62,Long-Term
C000452,Ontario,Retail,2022-05-12,43,Loyal
C000453,Ontario,Retail,2023-09-11,27,Loyal
C000454,Ontario,Retail,2024-03-18,21,Established
C000455,Ontario,Retail,2025-06-11,6,New
C000456,Ontario,Commercial,2023-12-05,24,Established
C000457,Ontario,Fleet,2022-11-11,37,Loyal
C000458,Ontario,Retail,2025-09-10,3,New
C000459,Ontario,Fleet,2024-05-02,19,Established
C000460,Ontario,Retail,2023-04-29,32,Loyal
C000461,British Columbia,Commercial,2025-03-29,9,Recent
C000462,Ontario,Commercial,2022-02-01,46,Loyal
C000463,Ontario,Fleet,2021-07-14,53,Long-Term
C000464,Ontario,Retail,2024-04-16,20,Established
C000465,Ontario,Retail,2024-12-29,12,Recent
C000466,Ontario,Retail,2022-09-19,39,Loyal
C000467,Ontario,Premium,2022-09-26,39,Loyal
C000468,Ontario,Retail,2024-01-21,23,Established
C000469,Ontario,Retail,2022-06-01,42,Loyal
C000470,Ontario,Retail,2021-08-17,52,Long-Term
C000471,Ontario,Retail,2020-05-19,67,Long-Term
C000472,Ontario,Retail,2022-06-06,42,Loyal
C000473,Ontario,Premium,2024-01-13,23,Established
C000474,British Columbia,Retail,2020-08-02,64,Long-Term
C000475,Alberta,Retail,2024-12-20,12,Recent
C000476,British Columbia,Retail,2020-07-20,65,Long-Term
C000477,Ontario,Retail,2024-01-31,23,Established
C000478,Ontario,Retail,2025-11-15,1,New
C000479,Ontario,Premium,2025-05-16,7,Recent
C000480,Ontario,Retail,2022-08-07,40,Loyal
C000481,Ontario,Retail,2023-03-03,33,Loyal
C000482,Alberta,Retail,2022-12-18,36,Loyal
C000483,Ontario,Retail,2022-03-31,45,Loyal
C000484,Alberta,Premium,2021-09-01,51,Long-Term
C000485,Ontario,Retail,2022-03-27,45,Loyal
C000486,British Columbia,Retail,2025-09-24,3,New
C000487,Ontario,Premium,2024-11-14,13,Established
C000488,Alberta,Retail,2020-03-13,69,Long-Term
C000489,Ontario,Retail,2024-02-25,22,Established
C000490,Alberta,Premium,2022-10-20,38,Loyal
C000491,Ontario,Retail,2023-08-30,28,Loyal
C000492,Ontario,Commercial,2020-10-01,62,Long-Term
C000493,Ontario,Premium,2024-12-04,12,Recent
C000494,Ontario,Retail,2020-10-21,62,Long-Term
C000495,Alberta,Premium,2021-03-20,57,Long-Term
C000496,Alberta,Retail,2024-06-30,18,Established
C000497,Alberta,Premium,2020-09-12,63,Long-Term
C000498,Ontario,Retail,2022-08-31,40,Loyal
C000499,Ontario,Retail,2021-10-06,50,Long-Term
C000500,Alberta,Commercial,2022-03-13,45,Loyal
C000501,Ontario,Retail,2024-08-15,16,Established
C000502,Alberta,Commercial,2024-04-20,20,Established
C000503,Ontario,Retail,2023-05-21,31,Loyal
C000504,Ontario,Retail,2020-03-27,69,Long-Term
C000505,Ontario,Retail,2023-08-01,28,Loyal
C000506,Ontario,Retail,2025-04-26,8,Recent
C000507,Ontario,Retail,2024-06-17,18,Established
C000508,Ontario,Retail,2021-05-13,55,Long-Term
C000509,Ontario,Retail,2020-05-26,67,Long-Term
C000510,British Columbia,Retail,2020-01-19,71,Long-Term
C000511,Alberta,Retail,2020-05-20,67,Long-Term
C000512,Ontario,Retail,2020-09-01,63,Long-Term
C000513,Ontario,Retail,2022-10-27,38,Loyal
C000514,Ontario,Retail,2020-09-07,63,Long-Term
C000515,Alberta,Premium,2025-09-03,3,New
C000516,Ontario,Commercial,2023-10-19,26,Loyal
C000517,Ontario,Retail,2021-03-04,57,Long-Term
